Nameserver,Provider,Solution
.guardedhost.net.,AMHmhosting.com,Web Host-provided DNS
.gwsinc.com.,Richweb,Global Web Managed DNS
.hamilton.net.,Hamilton (Nebraska ISP),ISP-provided DNS
.hastydns.com.,Hasty Domains,Registrar-provided DNS
.he.net.,Hurricane Electric,Managed DNS
.hostcontrol.com.,Host Control,Host Control
.hostcontrol.org.,Host Control,Host Control
.hosteurope.com.,Domainbox.com,Domainmonster and/or Mesh Digital
.hostgator.com.,HostGator,Web Host-provided DNS
.hostingats.com.,DNS Made Easy,Managed DNS Services
.hostmanagement.net.,HostMySite.com,Web Host-provided DNS
.hostway.net.,Hostway,Web Host-provided DNS
.hover.com.,Hover,Registrar-provided DNS
.hsbc.net.,HSBC,Self-Hosted Unknown
.hsbc.uk.,HSBC,Self-Hosted Unknown
.icbc.com.cn.,Industrial and Commercial Bank of China,Self-Hosted Unknown
.incapsecuredns.net.,Imperva,Cloud WAF and/or Infrastructure Protection
.inetu.net.,ViaWest,INetU Datacenter-provided DNS
.inmotionhosting.com.,Inmotion Hosting,Web Host-provided DNS
.iphouse.net.,Green Cloud Technologies,ISP-provided DNS
.jackhenry.com.,Jack Henry,Jack Henry
.jpmorganchase.com.,JP Morgan Chase,Self-Hosted Unknown
.level3.net.,CenturyLink,Level3 Managed DNS
.lexsynergy.com.,Lexsynergy Ltd.,Registrar-provided DNS
.lexsynergy.info.,Lexsynergy Ltd.,Registrar-provided DNS
.lexsynergy.net.,Lexsynergy Ltd.,Registrar-provided DNS
.lexsynergy.us.,Lexsynergy Ltd.,Registrar-provided DNS
.lh.net.,LightEdge Solutions,LightEdge Solutions Managed DNS
.linode.com.,Linode,Web Host-provided DNS
.liquidweb.com.,Liquid Web,Web Host-provided DNS
.lloydsbanking.co.uk.,Lloyds Bank,Self-Hosted Unknown
.lloydsbanking.com.,Lloyds Bank,Self-Hosted Unknown
.lloydstsb.co.uk.,Lloyds Bank,Self-Hosted Unknown
.mediatemple.net.,Media Temple,Web Host-provided DNS
.microsoftonline.com.,Microsoft,Office 365
.monikerdns.net.,Moniker,Registrar-provided DNS
.morganstanley.net.,Morgan Stanley,Self-Hosted Unknown
.ms.com.,Morgan Stanley,Self-Hosted Unknown
.muumuu-domain.com.,MuuMuu,Registrar-provided DNS
.my100bank.com.,Centennial Bank,Self-Hosted Unknown
