Exchanger,Provider,Solution
.spamhero.net.,iSparks,Spam Hero
.spamtitan.com.,SpamTitan,SpamTitan
.ssi-net.net.,Systems Solutions Inc.,Systems Solutions Inc.
.subscribermail.com.,Harland Clarke,Harland Clarke
.teleguam.net.,Teleguam (ISP in Guam),ISP Hosted Email
.tsys.com.,TSYS,TSYS
.unitedsolutions.coop.,United Solutions (CUSO),MSP-Hosted Unknown
.usa.net.,BAE Systems (SilverSky),USA.NET
.vadesecure.com.,Vade Secure,Vade Secure
.velocity.net.,Velocity.Net ISP,ISP Hosted Email
.yandex.net.,Yandex,Yandex
.zixsmbhosted.com.,Zix,Zix Hosted
.zixworks.com.,Zix,Zix Hosted
.zoho.com.,Zoho,Zoho
antispam.ciosolutions.com.,CIO Solutions,CIO Solutions
aspmx.l.google.com.,Google,G Suite
ironport1.radiant.net.,Radiant Networks (MSP),MSP-Hosted Unknown
psmtp.com.,SnapBlox,SnapBlox
seg-outbound.trustwave.com.,Trustwave,Secure Email Gateway
seg.trustwave.com.,Trustwave,Secure Email Gateway
vade-in1.mail.dreamhost.com.,Vade Secure,Vade Secure
vade-in2.mail.dreamhost.com.,Vade Secure,Vade Secure
